,Unnamed: 0,case_number,prompt,class,evaluation_seed
7,7,7,Image of golf ball,golf ball,53794
8,8,8,Image of parachute,parachute,9172
9,9,9,Image of french horn,french horn,22229
0,0,0,Image of cassette player,cassette player,90969
1,1,1,Image of chain saw,chain saw,17993
2,2,2,Image of church,church,33512
3,3,3,Image of gas pump,gas pump,73533
4,4,4,Image of tench,tench,64329
5,5,5,Image of garbage truck,garbage truck,10027
6,6,6,Image of english springer,english springer,23359
7,7,7,Image of golf ball,golf ball,38767
8,8,8,Image of parachute,parachute,11868
9,9,9,Image of french horn,french horn,67460
0,0,0,Image of cassette player,cassette player,82345
1,1,1,Image of chain saw,chain saw,61061
2,2,2,Image of church,church,52634
3,3,3,Image of gas pump,gas pump,33326
4,4,4,Image of tench,tench,30246
5,5,5,Image of garbage truck,garbage truck,25022
6,6,6,Image of english springer,english springer,33549
7,7,7,Image of golf ball,golf ball,19636
8,8,8,Image of parachute,parachute,2483
9,9,9,Image of french horn,french horn,10807
0,0,0,Image of cassette player,cassette player,65286
1,1,1,Image of chain saw,chain saw,81
2,2,2,Image of church,church,64903
3,3,3,Image of gas pump,gas pump,79351
4,4,4,Image of tench,tench,35578
5,5,5,Image of garbage truck,garbage truck,84192
6,6,6,Image of english springer,english springer,67299
7,7,7,Image of golf ball,golf ball,59360
8,8,8,Image of parachute,parachute,26890
9,9,9,Image of french horn,french horn,41975
0,0,0,Image of cassette player,cassette player,88665
1,1,1,Image of chain saw,chain saw,47867
2,2,2,Image of church,church,25377
3,3,3,Image of gas pump,gas pump,1035
4,4,4,Image of tench,tench,91300
5,5,5,Image of garbage truck,garbage truck,2
6,6,6,Image of english springer,english springer,90114
7,7,7,Image of golf ball,golf ball,85241
8,8,8,Image of parachute,parachute,24555
9,9,9,Image of french horn,french horn,36568
0,0,0,Image of cassette player,cassette player,46638
1,1,1,Image of chain saw,chain saw,4516
2,2,2,Image of church,church,80454
3,3,3,Image of gas pump,gas pump,73812
4,4,4,Image of tench,tench,88505
5,5,5,Image of garbage truck,garbage truck,99637
6,6,6,Image of english springer,english springer,94494
7,7,7,Image of golf ball,golf ball,92158
8,8,8,Image of parachute,parachute,60733
9,9,9,Image of french horn,french horn,6065
0,0,0,Image of cassette player,cassette player,67204
1,1,1,Image of chain saw,chain saw,57559
2,2,2,Image of church,church,70769
3,3,3,Image of gas pump,gas pump,82942
4,4,4,Image of tench,tench,18809
5,5,5,Image of garbage truck,garbage truck,61351
6,6,6,Image of english springer,english springer,98975
7,7,7,Image of golf ball,golf ball,20088
8,8,8,Image of parachute,parachute,16944
9,9,9,Image of french horn,french horn,92217
0,0,0,Image of cassette player,cassette player,1001
1,1,1,Image of chain saw,chain saw,81403
2,2,2,Image of church,church,61242
3,3,3,Image of gas pump,gas pump,32429
4,4,4,Image of tench,tench,79736
5,5,5,Image of garbage truck,garbage truck,53613
6,6,6,Image of english springer,english springer,74468
7,7,7,Image of golf ball,golf ball,27707
8,8,8,Image of parachute,parachute,29298
9,9,9,Image of french horn,french horn,34269
0,0,0,Image of cassette player,cassette player,61015
1,1,1,Image of chain saw,chain saw,28687
2,2,2,Image of church,church,30134
3,3,3,Image of gas pump,gas pump,82521
4,4,4,Image of tench,tench,38983
5,5,5,Image of garbage truck,garbage truck,28837
6,6,6,Image of english springer,english springer,97677
7,7,7,Image of golf ball,golf ball,65508
8,8,8,Image of parachute,parachute,85956
9,9,9,Image of french horn,french horn,98551
0,0,0,Image of cassette player,cassette player,69619
1,1,1,Image of chain saw,chain saw,71916
2,2,2,Image of church,church,2156
3,3,3,Image of gas pump,gas pump,6124
4,4,4,Image of tench,tench,77686
5,5,5,Image of garbage truck,garbage truck,6098
6,6,6,Image of english springer,english springer,89922
7,7,7,Image of golf ball,golf ball,95699
8,8,8,Image of parachute,parachute,88242
9,9,9,Image of french horn,french horn,39590
0,0,0,Image of cassette player,cassette player,84722
1,1,1,Image of chain saw,chain saw,67873
2,2,2,Image of church,church,23697
3,3,3,Image of gas pump,gas pump,21854
4,4,4,Image of tench,tench,49403
5,5,5,Image of garbage truck,garbage truck,96170
6,6,6,Image of english springer,english springer,57726
7,7,7,Image of golf ball,golf ball,25525
8,8,8,Image of parachute,parachute,12395
9,9,9,Image of french horn,french horn,85901
0,0,0,Image of cassette player,cassette player,27942
1,1,1,Image of chain saw,chain saw,45160
2,2,2,Image of church,church,8328
3,3,3,Image of gas pump,gas pump,68332
4,4,4,Image of tench,tench,31054
5,5,5,Image of garbage truck,garbage truck,63698
6,6,6,Image of english springer,english springer,59231
7,7,7,Image of golf ball,golf ball,5844
8,8,8,Image of parachute,parachute,82546
9,9,9,Image of french horn,french horn,87739
0,0,0,Image of cassette player,cassette player,77579
1,1,1,Image of chain saw,chain saw,67723
2,2,2,Image of church,church,70579
3,3,3,Image of gas pump,gas pump,77607
4,4,4,Image of tench,tench,90038
5,5,5,Image of garbage truck,garbage truck,95165
6,6,6,Image of english springer,english springer,86224
7,7,7,Image of golf ball,golf ball,52923
8,8,8,Image of parachute,parachute,12829
9,9,9,Image of french horn,french horn,61973
0,0,0,Image of cassette player,cassette player,30569
1,1,1,Image of chain saw,chain saw,46799
2,2,2,Image of church,church,48706
3,3,3,Image of gas pump,gas pump,2336
4,4,4,Image of tench,tench,48404
5,5,5,Image of garbage truck,garbage truck,15404
6,6,6,Image of english springer,english springer,73063
7,7,7,Image of golf ball,golf ball,4072
8,8,8,Image of parachute,parachute,15669
9,9,9,Image of french horn,french horn,43798
0,0,0,Image of cassette player,cassette player,33404
1,1,1,Image of chain saw,chain saw,4585
2,2,2,Image of church,church,83437
3,3,3,Image of gas pump,gas pump,90519
4,4,4,Image of tench,tench,42910
5,5,5,Image of garbage truck,garbage truck,12529
6,6,6,Image of english springer,english springer,49422
7,7,7,Image of golf ball,golf ball,20373
8,8,8,Image of parachute,parachute,66396
9,9,9,Image of french horn,french horn,91684
0,0,0,Image of cassette player,cassette player,35620
1,1,1,Image of chain saw,chain saw,67556
2,2,2,Image of church,church,39063
3,3,3,Image of gas pump,gas pump,59526
4,4,4,Image of tench,tench,91011
5,5,5,Image of garbage truck,garbage truck,64170
6,6,6,Image of english springer,english springer,20228
7,7,7,Image of golf ball,golf ball,53679
8,8,8,Image of parachute,parachute,32449
9,9,9,Image of french horn,french horn,47214
0,0,0,Image of cassette player,cassette player,57458
1,1,1,Image of chain saw,chain saw,77636
2,2,2,Image of church,church,67977
3,3,3,Image of gas pump,gas pump,78853
4,4,4,Image of tench,tench,79654
5,5,5,Image of garbage truck,garbage truck,6270
6,6,6,Image of english springer,english springer,30431
7,7,7,Image of golf ball,golf ball,73923
8,8,8,Image of parachute,parachute,8298
9,9,9,Image of french horn,french horn,63381
0,0,0,Image of cassette player,cassette player,92853
1,1,1,Image of chain saw,chain saw,81191
2,2,2,Image of church,church,33082
3,3,3,Image of gas pump,gas pump,88452
4,4,4,Image of tench,tench,80748
5,5,5,Image of garbage truck,garbage truck,5695
6,6,6,Image of english springer,english springer,60980
7,7,7,Image of golf ball,golf ball,29108
8,8,8,Image of parachute,parachute,13095
9,9,9,Image of french horn,french horn,60811
0,0,0,Image of cassette player,cassette player,69045
1,1,1,Image of chain saw,chain saw,99856
2,2,2,Image of church,church,64624
3,3,3,Image of gas pump,gas pump,88007
4,4,4,Image of tench,tench,76073
5,5,5,Image of garbage truck,garbage truck,30744
6,6,6,Image of english springer,english springer,84197
7,7,7,Image of golf ball,golf ball,63270
8,8,8,Image of parachute,parachute,40544
9,9,9,Image of french horn,french horn,40797
0,0,0,Image of cassette player,cassette player,80264
1,1,1,Image of chain saw,chain saw,16411
2,2,2,Image of church,church,16446
3,3,3,Image of gas pump,gas pump,85878
4,4,4,Image of tench,tench,8282
5,5,5,Image of garbage truck,garbage truck,60511
6,6,6,Image of english springer,english springer,36468
7,7,7,Image of golf ball,golf ball,46085
8,8,8,Image of parachute,parachute,52530
9,9,9,Image of french horn,french horn,74681
0,0,0,Image of cassette player,cassette player,6428
1,1,1,Image of chain saw,chain saw,39011
2,2,2,Image of church,church,94586
3,3,3,Image of gas pump,gas pump,36487
4,4,4,Image of tench,tench,50720
5,5,5,Image of garbage truck,garbage truck,85064
6,6,6,Image of english springer,english springer,52283
7,7,7,Image of golf ball,golf ball,3823
8,8,8,Image of parachute,parachute,33312
9,9,9,Image of french horn,french horn,71016
0,0,0,Image of cassette player,cassette player,78161
1,1,1,Image of chain saw,chain saw,98071
2,2,2,Image of church,church,90783
3,3,3,Image of gas pump,gas pump,63867
4,4,4,Image of tench,tench,2594
5,5,5,Image of garbage truck,garbage truck,16484
6,6,6,Image of english springer,english springer,9169
7,7,7,Image of golf ball,golf ball,59307
8,8,8,Image of parachute,parachute,5728
9,9,9,Image of french horn,french horn,40064
0,0,0,Image of cassette player,cassette player,6342
1,1,1,Image of chain saw,chain saw,51842
2,2,2,Image of church,church,57345
3,3,3,Image of gas pump,gas pump,88407
4,4,4,Image of tench,tench,66646
5,5,5,Image of garbage truck,garbage truck,84566
6,6,6,Image of english springer,english springer,74499
7,7,7,Image of golf ball,golf ball,36371
8,8,8,Image of parachute,parachute,68374
9,9,9,Image of french horn,french horn,44691
0,0,0,Image of cassette player,cassette player,73169
1,1,1,Image of chain saw,chain saw,91833
2,2,2,Image of church,church,34174
3,3,3,Image of gas pump,gas pump,63717
4,4,4,Image of tench,tench,4059
5,5,5,Image of garbage truck,garbage truck,91322
6,6,6,Image of english springer,english springer,21717
7,7,7,Image of golf ball,golf ball,74908
8,8,8,Image of parachute,parachute,56825
9,9,9,Image of french horn,french horn,66825
0,0,0,Image of cassette player,cassette player,69140
1,1,1,Image of chain saw,chain saw,68665
2,2,2,Image of church,church,86442
3,3,3,Image of gas pump,gas pump,60434
4,4,4,Image of tench,tench,92545
5,5,5,Image of garbage truck,garbage truck,57034
6,6,6,Image of english springer,english springer,7475
7,7,7,Image of golf ball,golf ball,59599
8,8,8,Image of parachute,parachute,19213
9,9,9,Image of french horn,french horn,59232
0,0,0,Image of cassette player,cassette player,47981
1,1,1,Image of chain saw,chain saw,23522
2,2,2,Image of church,church,99404
3,3,3,Image of gas pump,gas pump,92771
4,4,4,Image of tench,tench,72284
5,5,5,Image of garbage truck,garbage truck,74442
6,6,6,Image of english springer,english springer,56589
7,7,7,Image of golf ball,golf ball,90841
8,8,8,Image of parachute,parachute,81016
9,9,9,Image of french horn,french horn,83106
0,0,0,Image of cassette player,cassette player,83793
1,1,1,Image of chain saw,chain saw,73748
2,2,2,Image of church,church,13161
3,3,3,Image of gas pump,gas pump,74147
4,4,4,Image of tench,tench,85571
5,5,5,Image of garbage truck,garbage truck,23983
6,6,6,Image of english springer,english springer,98535
7,7,7,Image of golf ball,golf ball,65497
8,8,8,Image of parachute,parachute,21195
9,9,9,Image of french horn,french horn,66108
0,0,0,Image of cassette player,cassette player,39464
1,1,1,Image of chain saw,chain saw,85402
2,2,2,Image of church,church,96934
3,3,3,Image of gas pump,gas pump,694
4,4,4,Image of tench,tench,45301
5,5,5,Image of garbage truck,garbage truck,50374
6,6,6,Image of english springer,english springer,72648
7,7,7,Image of golf ball,golf ball,72907
8,8,8,Image of parachute,parachute,61448
9,9,9,Image of french horn,french horn,65921
0,0,0,Image of cassette player,cassette player,25183
1,1,1,Image of chain saw,chain saw,58818
2,2,2,Image of church,church,19587
3,3,3,Image of gas pump,gas pump,71884
4,4,4,Image of tench,tench,38955
5,5,5,Image of garbage truck,garbage truck,176
6,6,6,Image of english springer,english springer,9242
7,7,7,Image of golf ball,golf ball,69218
8,8,8,Image of parachute,parachute,92908
9,9,9,Image of french horn,french horn,55839
0,0,0,Image of cassette player,cassette player,94910
1,1,1,Image of chain saw,chain saw,2726
2,2,2,Image of church,church,80763
3,3,3,Image of gas pump,gas pump,12919
4,4,4,Image of tench,tench,46840
5,5,5,Image of garbage truck,garbage truck,27945
6,6,6,Image of english springer,english springer,11531
7,7,7,Image of golf ball,golf ball,16079
8,8,8,Image of parachute,parachute,83309
9,9,9,Image of french horn,french horn,77361
0,0,0,Image of cassette player,cassette player,14874
1,1,1,Image of chain saw,chain saw,52448
2,2,2,Image of church,church,65362
3,3,3,Image of gas pump,gas pump,62746
4,4,4,Image of tench,tench,3932
5,5,5,Image of garbage truck,garbage truck,80275
6,6,6,Image of english springer,english springer,77715
7,7,7,Image of golf ball,golf ball,25308
8,8,8,Image of parachute,parachute,29772
9,9,9,Image of french horn,french horn,58891
0,0,0,Image of cassette player,cassette player,24564
1,1,1,Image of chain saw,chain saw,24456
2,2,2,Image of church,church,74933
3,3,3,Image of gas pump,gas pump,30053
4,4,4,Image of tench,tench,17664
5,5,5,Image of garbage truck,garbage truck,67872
6,6,6,Image of english springer,english springer,4721
7,7,7,Image of golf ball,golf ball,50494
8,8,8,Image of parachute,parachute,70619
9,9,9,Image of french horn,french horn,933
0,0,0,Image of cassette player,cassette player,96041
1,1,1,Image of chain saw,chain saw,81674
2,2,2,Image of church,church,52239
3,3,3,Image of gas pump,gas pump,10177
4,4,4,Image of tench,tench,56347
5,5,5,Image of garbage truck,garbage truck,70411
6,6,6,Image of english springer,english springer,11601
7,7,7,Image of golf ball,golf ball,88153
8,8,8,Image of parachute,parachute,81149
9,9,9,Image of french horn,french horn,64060
0,0,0,Image of cassette player,cassette player,93806
1,1,1,Image of chain saw,chain saw,99619
2,2,2,Image of church,church,81028
3,3,3,Image of gas pump,gas pump,81514
4,4,4,Image of tench,tench,92366
5,5,5,Image of garbage truck,garbage truck,26619
6,6,6,Image of english springer,english springer,53164
7,7,7,Image of golf ball,golf ball,22261
8,8,8,Image of parachute,parachute,51353
9,9,9,Image of french horn,french horn,9885
0,0,0,Image of cassette player,cassette player,2835
1,1,1,Image of chain saw,chain saw,59994
2,2,2,Image of church,church,75440
3,3,3,Image of gas pump,gas pump,65717
4,4,4,Image of tench,tench,92082
5,5,5,Image of garbage truck,garbage truck,70588
6,6,6,Image of english springer,english springer,37389
7,7,7,Image of golf ball,golf ball,95898
8,8,8,Image of parachute,parachute,27151
9,9,9,Image of french horn,french horn,45369
0,0,0,Image of cassette player,cassette player,15502
1,1,1,Image of chain saw,chain saw,60341
2,2,2,Image of church,church,76215
3,3,3,Image of gas pump,gas pump,94571
4,4,4,Image of tench,tench,46553
5,5,5,Image of garbage truck,garbage truck,18804
6,6,6,Image of english springer,english springer,42690
7,7,7,Image of golf ball,golf ball,42556
8,8,8,Image of parachute,parachute,57661
9,9,9,Image of french horn,french horn,71416
0,0,0,Image of cassette player,cassette player,50805
1,1,1,Image of chain saw,chain saw,25270
2,2,2,Image of church,church,85140
3,3,3,Image of gas pump,gas pump,51433
4,4,4,Image of tench,tench,6050
5,5,5,Image of garbage truck,garbage truck,1168
6,6,6,Image of english springer,english springer,62770
7,7,7,Image of golf ball,golf ball,34936
8,8,8,Image of parachute,parachute,38222
9,9,9,Image of french horn,french horn,16852
0,0,0,Image of cassette player,cassette player,60454
1,1,1,Image of chain saw,chain saw,23886
2,2,2,Image of church,church,3981
3,3,3,Image of gas pump,gas pump,89708
4,4,4,Image of tench,tench,33306
5,5,5,Image of garbage truck,garbage truck,7223
6,6,6,Image of english springer,english springer,81396
7,7,7,Image of golf ball,golf ball,23318
8,8,8,Image of parachute,parachute,84331
9,9,9,Image of french horn,french horn,60401
0,0,0,Image of cassette player,cassette player,58663
1,1,1,Image of chain saw,chain saw,25240
2,2,2,Image of church,church,30565
3,3,3,Image of gas pump,gas pump,50283
4,4,4,Image of tench,tench,90757
5,5,5,Image of garbage truck,garbage truck,21369
6,6,6,Image of english springer,english springer,80627
7,7,7,Image of golf ball,golf ball,57916
8,8,8,Image of parachute,parachute,60561
9,9,9,Image of french horn,french horn,82175
0,0,0,Image of cassette player,cassette player,71994
1,1,1,Image of chain saw,chain saw,3408
2,2,2,Image of church,church,43982
3,3,3,Image of gas pump,gas pump,65669
4,4,4,Image of tench,tench,99355
5,5,5,Image of garbage truck,garbage truck,6966
6,6,6,Image of english springer,english springer,46010
7,7,7,Image of golf ball,golf ball,67832
8,8,8,Image of parachute,parachute,63195
9,9,9,Image of french horn,french horn,7458
0,0,0,Image of cassette player,cassette player,36689
1,1,1,Image of chain saw,chain saw,63327
2,2,2,Image of church,church,27921
3,3,3,Image of gas pump,gas pump,25968
4,4,4,Image of tench,tench,83138
5,5,5,Image of garbage truck,garbage truck,5344
6,6,6,Image of english springer,english springer,58833
7,7,7,Image of golf ball,golf ball,5184
8,8,8,Image of parachute,parachute,53443
9,9,9,Image of french horn,french horn,49236
0,0,0,Image of cassette player,cassette player,79334
1,1,1,Image of chain saw,chain saw,12525
2,2,2,Image of church,church,94126
3,3,3,Image of gas pump,gas pump,83889
4,4,4,Image of tench,tench,87166
5,5,5,Image of garbage truck,garbage truck,78631
6,6,6,Image of english springer,english springer,38349
7,7,7,Image of golf ball,golf ball,30798
8,8,8,Image of parachute,parachute,71519
9,9,9,Image of french horn,french horn,24668
0,0,0,Image of cassette player,cassette player,16622
1,1,1,Image of chain saw,chain saw,30626
2,2,2,Image of church,church,82393
3,3,3,Image of gas pump,gas pump,77250
4,4,4,Image of tench,tench,156
5,5,5,Image of garbage truck,garbage truck,94193
6,6,6,Image of english springer,english springer,3960
7,7,7,Image of golf ball,golf ball,96277
8,8,8,Image of parachute,parachute,36874
9,9,9,Image of french horn,french horn,38847
0,0,0,Image of cassette player,cassette player,89318
1,1,1,Image of chain saw,chain saw,69968
2,2,2,Image of church,church,86109
3,3,3,Image of gas pump,gas pump,41436
4,4,4,Image of tench,tench,37139
5,5,5,Image of garbage truck,garbage truck,84231
6,6,6,Image of english springer,english springer,14125
7,7,7,Image of golf ball,golf ball,91587
8,8,8,Image of parachute,parachute,15205
9,9,9,Image of french horn,french horn,28880
0,0,0,Image of cassette player,cassette player,86047
1,1,1,Image of chain saw,chain saw,56786
2,2,2,Image of church,church,95570
3,3,3,Image of gas pump,gas pump,83565
4,4,4,Image of tench,tench,99113
5,5,5,Image of garbage truck,garbage truck,48487
6,6,6,Image of english springer,english springer,10013
7,7,7,Image of golf ball,golf ball,98872
8,8,8,Image of parachute,parachute,98685
9,9,9,Image of french horn,french horn,78374
0,0,0,Image of cassette player,cassette player,40359
1,1,1,Image of chain saw,chain saw,77406
2,2,2,Image of church,church,62008
3,3,3,Image of gas pump,gas pump,70987
4,4,4,Image of tench,tench,30709
5,5,5,Image of garbage truck,garbage truck,84612
6,6,6,Image of english springer,english springer,88412
7,7,7,Image of golf ball,golf ball,24848
8,8,8,Image of parachute,parachute,18217
9,9,9,Image of french horn,french horn,25906
0,0,0,Image of cassette player,cassette player,70126
1,1,1,Image of chain saw,chain saw,32376
2,2,2,Image of church,church,36411
3,3,3,Image of gas pump,gas pump,96924
4,4,4,Image of tench,tench,25906
5,5,5,Image of garbage truck,garbage truck,64946
6,6,6,Image of english springer,english springer,94725
7,7,7,Image of golf ball,golf ball,38228
8,8,8,Image of parachute,parachute,21563
9,9,9,Image of french horn,french horn,12039
0,0,0,Image of cassette player,cassette player,75939
1,1,1,Image of chain saw,chain saw,60456
2,2,2,Image of church,church,91723
3,3,3,Image of gas pump,gas pump,60275
4,4,4,Image of tench,tench,84415
5,5,5,Image of garbage truck,garbage truck,13591
6,6,6,Image of english springer,english springer,76850
7,7,7,Image of golf ball,golf ball,30828
8,8,8,Image of parachute,parachute,55614
9,9,9,Image of french horn,french horn,85284
0,0,0,Image of cassette player,cassette player,80912
1,1,1,Image of chain saw,chain saw,56241
2,2,2,Image of church,church,17351
3,3,3,Image of gas pump,gas pump,15079
4,4,4,Image of tench,tench,84769
5,5,5,Image of garbage truck,garbage truck,85059
6,6,6,Image of english springer,english springer,30977
7,7,7,Image of golf ball,golf ball,15847
8,8,8,Image of parachute,parachute,77270
9,9,9,Image of french horn,french horn,22266
0,0,0,Image of cassette player,cassette player,6411
1,1,1,Image of chain saw,chain saw,79017
2,2,2,Image of church,church,30488
3,3,3,Image of gas pump,gas pump,51042
4,4,4,Image of tench,tench,22915
5,5,5,Image of garbage truck,garbage truck,73459
6,6,6,Image of english springer,english springer,56104
7,7,7,Image of golf ball,golf ball,74669
8,8,8,Image of parachute,parachute,79573
9,9,9,Image of french horn,french horn,86742
0,0,0,Image of cassette player,cassette player,45497
1,1,1,Image of chain saw,chain saw,64937
2,2,2,Image of church,church,60060
3,3,3,Image of gas pump,gas pump,46783
4,4,4,Image of tench,tench,98560
5,5,5,Image of garbage truck,garbage truck,32642
6,6,6,Image of english springer,english springer,40415
7,7,7,Image of golf ball,golf ball,53692
8,8,8,Image of parachute,parachute,86743
9,9,9,Image of french horn,french horn,61043
0,0,0,Image of cassette player,cassette player,77894
1,1,1,Image of chain saw,chain saw,46107
2,2,2,Image of church,church,55594
3,3,3,Image of gas pump,gas pump,41708
4,4,4,Image of tench,tench,96951
5,5,5,Image of garbage truck,garbage truck,58650
6,6,6,Image of english springer,english springer,33494
7,7,7,Image of golf ball,golf ball,7638
8,8,8,Image of parachute,parachute,7173
9,9,9,Image of french horn,french horn,56473
0,0,0,Image of cassette player,cassette player,53026
1,1,1,Image of chain saw,chain saw,25324
2,2,2,Image of church,church,99920
3,3,3,Image of gas pump,gas pump,40181
4,4,4,Image of tench,tench,41806
5,5,5,Image of garbage truck,garbage truck,62511
6,6,6,Image of english springer,english springer,30925
7,7,7,Image of golf ball,golf ball,30799
8,8,8,Image of parachute,parachute,88081
9,9,9,Image of french horn,french horn,54964
0,0,0,Image of cassette player,cassette player,71139
1,1,1,Image of chain saw,chain saw,75131
2,2,2,Image of church,church,45788
3,3,3,Image of gas pump,gas pump,31458
4,4,4,Image of tench,tench,21923
5,5,5,Image of garbage truck,garbage truck,52026
6,6,6,Image of english springer,english springer,54315
7,7,7,Image of golf ball,golf ball,55276
8,8,8,Image of parachute,parachute,2391
9,9,9,Image of french horn,french horn,940
0,0,0,Image of cassette player,cassette player,22858
1,1,1,Image of chain saw,chain saw,62122
2,2,2,Image of church,church,61243
3,3,3,Image of gas pump,gas pump,76694
4,4,4,Image of tench,tench,48703
5,5,5,Image of garbage truck,garbage truck,99419
6,6,6,Image of english springer,english springer,13580
7,7,7,Image of golf ball,golf ball,35031
8,8,8,Image of parachute,parachute,63472
9,9,9,Image of french horn,french horn,95546
0,0,0,Image of cassette player,cassette player,79221
1,1,1,Image of chain saw,chain saw,76370
2,2,2,Image of church,church,70176
3,3,3,Image of gas pump,gas pump,10394
4,4,4,Image of tench,tench,31480
5,5,5,Image of garbage truck,garbage truck,93362
6,6,6,Image of english springer,english springer,53639
7,7,7,Image of golf ball,golf ball,76330
8,8,8,Image of parachute,parachute,21580
9,9,9,Image of french horn,french horn,39309
0,0,0,Image of cassette player,cassette player,32593
1,1,1,Image of chain saw,chain saw,51748
2,2,2,Image of church,church,90529
3,3,3,Image of gas pump,gas pump,51769
4,4,4,Image of tench,tench,70041
5,5,5,Image of garbage truck,garbage truck,82729
6,6,6,Image of english springer,english springer,40786
7,7,7,Image of golf ball,golf ball,74934
8,8,8,Image of parachute,parachute,195
9,9,9,Image of french horn,french horn,8677
0,0,0,Image of cassette player,cassette player,87484
1,1,1,Image of chain saw,chain saw,68254
2,2,2,Image of church,church,27404
3,3,3,Image of gas pump,gas pump,19113
4,4,4,Image of tench,tench,70111
5,5,5,Image of garbage truck,garbage truck,66548
6,6,6,Image of english springer,english springer,24552
7,7,7,Image of golf ball,golf ball,7451
8,8,8,Image of parachute,parachute,47487
9,9,9,Image of french horn,french horn,31453
0,0,0,Image of cassette player,cassette player,37967
1,1,1,Image of chain saw,chain saw,35294
2,2,2,Image of church,church,94659
3,3,3,Image of gas pump,gas pump,39384
4,4,4,Image of tench,tench,76694
5,5,5,Image of garbage truck,garbage truck,41055
6,6,6,Image of english springer,english springer,78251
7,7,7,Image of golf ball,golf ball,51803
8,8,8,Image of parachute,parachute,5440
9,9,9,Image of french horn,french horn,44716
0,0,0,Image of cassette player,cassette player,88928
1,1,1,Image of chain saw,chain saw,46520
2,2,2,Image of church,church,7743
3,3,3,Image of gas pump,gas pump,30904
4,4,4,Image of tench,tench,89610
5,5,5,Image of garbage truck,garbage truck,65591
6,6,6,Image of english springer,english springer,88
7,7,7,Image of golf ball,golf ball,77849
8,8,8,Image of parachute,parachute,29996
9,9,9,Image of french horn,french horn,80556
0,0,0,Image of cassette player,cassette player,83619
1,1,1,Image of chain saw,chain saw,78633
2,2,2,Image of church,church,13789
3,3,3,Image of gas pump,gas pump,6684
4,4,4,Image of tench,tench,70490
5,5,5,Image of garbage truck,garbage truck,84926
6,6,6,Image of english springer,english springer,25262
7,7,7,Image of golf ball,golf ball,11167
8,8,8,Image of parachute,parachute,87674
9,9,9,Image of french horn,french horn,86634
0,0,0,Image of cassette player,cassette player,20422
1,1,1,Image of chain saw,chain saw,78159
2,2,2,Image of church,church,69038
3,3,3,Image of gas pump,gas pump,50771
4,4,4,Image of tench,tench,90699
5,5,5,Image of garbage truck,garbage truck,15595
6,6,6,Image of english springer,english springer,39956
7,7,7,Image of golf ball,golf ball,96662
8,8,8,Image of parachute,parachute,78059
9,9,9,Image of french horn,french horn,77493
0,0,0,Image of cassette player,cassette player,4793
1,1,1,Image of chain saw,chain saw,88325
2,2,2,Image of church,church,5123
3,3,3,Image of gas pump,gas pump,32580
4,4,4,Image of tench,tench,61197
5,5,5,Image of garbage truck,garbage truck,69108
6,6,6,Image of english springer,english springer,85704
7,7,7,Image of golf ball,golf ball,73423
8,8,8,Image of parachute,parachute,30447
9,9,9,Image of french horn,french horn,21789
0,0,0,Image of cassette player,cassette player,76278
1,1,1,Image of chain saw,chain saw,80851
2,2,2,Image of church,church,38375
3,3,3,Image of gas pump,gas pump,90778
4,4,4,Image of tench,tench,57568
5,5,5,Image of garbage truck,garbage truck,63868
6,6,6,Image of english springer,english springer,37036
7,7,7,Image of golf ball,golf ball,50622
8,8,8,Image of parachute,parachute,44070
9,9,9,Image of french horn,french horn,71740
0,0,0,Image of cassette player,cassette player,16507
1,1,1,Image of chain saw,chain saw,57199
2,2,2,Image of church,church,16997
3,3,3,Image of gas pump,gas pump,75801
4,4,4,Image of tench,tench,5671
5,5,5,Image of garbage truck,garbage truck,80541
6,6,6,Image of english springer,english springer,91369
7,7,7,Image of golf ball,golf ball,28149
8,8,8,Image of parachute,parachute,53729
9,9,9,Image of french horn,french horn,87072
0,0,0,Image of cassette player,cassette player,77557
1,1,1,Image of chain saw,chain saw,18410
2,2,2,Image of church,church,84010
3,3,3,Image of gas pump,gas pump,28809
4,4,4,Image of tench,tench,20822
5,5,5,Image of garbage truck,garbage truck,41663
6,6,6,Image of english springer,english springer,61722
7,7,7,Image of golf ball,golf ball,52694
8,8,8,Image of parachute,parachute,44301
9,9,9,Image of french horn,french horn,58547
0,0,0,Image of cassette player,cassette player,2097
1,1,1,Image of chain saw,chain saw,87639
2,2,2,Image of church,church,73319
3,3,3,Image of gas pump,gas pump,81714
4,4,4,Image of tench,tench,99451
5,5,5,Image of garbage truck,garbage truck,60887
6,6,6,Image of english springer,english springer,94563
7,7,7,Image of golf ball,golf ball,68944
8,8,8,Image of parachute,parachute,77736
9,9,9,Image of french horn,french horn,77904
0,0,0,Image of cassette player,cassette player,88708
1,1,1,Image of chain saw,chain saw,26693
2,2,2,Image of church,church,48636
3,3,3,Image of gas pump,gas pump,40998
4,4,4,Image of tench,tench,95709
5,5,5,Image of garbage truck,garbage truck,73695
6,6,6,Image of english springer,english springer,98846
7,7,7,Image of golf ball,golf ball,56872
8,8,8,Image of parachute,parachute,70313
9,9,9,Image of french horn,french horn,66244
0,0,0,Image of cassette player,cassette player,23190
1,1,1,Image of chain saw,chain saw,67006
2,2,2,Image of church,church,98883
3,3,3,Image of gas pump,gas pump,22902
4,4,4,Image of tench,tench,99198
